iter	RMSE
128	0.3309673982
129	0.330225867
130	0.3295274868
131	0.3285430737
132	0.3274981823
133	0.3266997017
134	0.3263314017
135	0.3257467199
136	0.3253964094
137	0.3250259655
138	0.3244181351
139	0.3236095081
140	0.3227312607
141	0.3218807433
142	0.3213431344
143	0.3206278313
144	0.3200478522
145	0.3191735989
146	0.3185662501
147	0.3179375878
148	0.3174511525
149	0.3165907021
150	0.3155813222
151	0.3152380826
152	0.3147169867
153	0.3142179442
154	0.3136357015
155	0.3126393764
156	0.3120595703
157	0.3116843868
158	0.3113736656
159	0.3108834486
160	0.3102969241
161	0.3094735816
162	0.3092234503
163	0.3086391987
164	0.3084044373
165	0.3078999278
166	0.3076252726
167	0.3070262001
168	0.3065993365
169	0.3061580931
170	0.3057865179
171	0.3053401407
172	0.3049488884
173	0.3046650005
174	0.3042030001
175	0.303791505
176	0.3032029146
177	0.3027745397
178	0.3023791051
179	0.3020420202
180	0.3016265062
181	0.3012284185
182	0.3007198673
183	0.3000674833
184	0.2995567489
185	0.2991137174
186	0.2987761026
187	0.2983679377
188	0.2980731111
189	0.2977331562
190	0.2974069132
191	0.296978564
192	0.2964644504
193	0.2961404736
194	0.2958707661
195	0.2954985142
196	0.2950702253
197	0.2947340334
198	0.2943541264
199	0.2939626756
200	0.2936802733
201	0.2932970562
202	0.293123657
203	0.292809064
204	0.2925787156
205	0.2923346151
206	0.2919814376
207	0.2916572264
208	0.2913596686
209	0.2910926098
210	0.2908627309
211	0.2903161458
212	0.2900227664
213	0.2895788105
214	0.2892350962
215	0.2889394853
216	0.2888133766
217	0.2886487863
218	0.288484296
219	0.2881312101
220	0.2878641942
221	0.2874975702
222	0.2871827462
223	0.28671582
224	0.2864094624
225	0.2859615846
226	0.2858044761
227	0.2854305886
228	0.2851787684
229	0.2850341218
230	0.2847960992
231	0.2844379423
232	0.2841985201
233	0.2840318516
234	0.283790569
235	0.2834953635
236	0.2833325035
237	0.2830448209
238	0.2828134164
239	0.2826495628
240	0.2822840495
241	0.2820457352
242	0.2818928636
243	0.2816462679
244	0.2814474021
245	0.2811140951
246	0.2809182593
247	0.2806996209
248	0.2802715028
249	0.2800002457
250	0.2797753354
251	0.2795841804
252	0.2791637289
253	0.2790065838
254	0.2788369684
255	0.2786562949
256	0.278481403
257	0.2783060493
258	0.2779678311
259	0.2776676205
260	0.2773508707
261	0.2770650981
262	0.2768290427
263	0.2765672296
264	0.2763748595
265	0.2761511858
266	0.2759619539
267	0.2757825193
268	0.2755873806
269	0.2753845806
270	0.2751078249
271	0.2748575009
272	0.2745927542
273	0.2743694058
274	0.2741768763
275	0.2739489191
276	0.273831781
277	0.273702532
278	0.2736306616
279	0.2735205574
280	0.273290898
281	0.2732625719
282	0.2730690665
283	0.272851612
284	0.2725707642
285	0.2724169867
286	0.272173834
287	0.2720460859
288	0.2718696407
289	0.2717493322
290	0.2716188697
291	0.2715004871
292	0.2712441865
293	0.2709996738
294	0.2707218985
295	0.2705053307
296	0.2704169347
297	0.2702296932
298	0.2700880805
299	0.2699954437
300	0.2698374928
301	0.2695954965
302	0.2694569015
303	0.2693414813
304	0.2692538692
305	0.2689878914
306	0.2687529777
307	0.2686121482
308	0.2685142541
309	0.2683295606
310	0.2681983208
311	0.2680461879
312	0.2679143965
313	0.2678493319
314	0.2675137458
315	0.2672447296
316	0.2670979044
317	0.2669578218
318	0.2668644274
319	0.2666713524
320	0.2664899209
321	0.2662987237
322	0.2661836296
323	0.2659477056
324	0.2657703155
325	0.2656666821
326	0.2654955416
327	0.2652942307
328	0.2651013937
329	0.2648910011
330	0.2647197529
331	0.2645244358
332	0.2643826645
333	0.2642073588
334	0.2640286242
335	0.2639177759
336	0.2637344293
337	0.2635140621
338	0.2633219875
339	0.263106774
340	0.2630157755
341	0.2628609019
342	0.2626208744
343	0.2625150115
344	0.262333732
345	0.2621590605
346	0.2620264631
347	0.2617444926
348	0.2615749428
349	0.2613281503
350	0.2612521399
351	0.2610539781
352	0.2608667245
353	0.2607032672
354	0.2604797811
355	0.2602849135
356	0.2602249939
357	0.2601491724
358	0.2600087993
359	0.259821239
360	0.2596910151
361	0.2595591613
362	0.2594573025
363	0.2592415727
364	0.2590657886
365	0.2589500855
366	0.2587929304
367	0.2586865162
368	0.2585847713
369	0.2584845665
370	0.2583580975
371	0.2582569186
372	0.2579983889
373	0.2578949472
374	0.257803157
375	0.2576233476
376	0.2573694333
377	0.2572854954
378	0.2571546173
379	0.2570316428
380	0.2569383385
381	0.2567314781
382	0.2566162887
383	0.2565066047
384	0.2562774519
385	0.2561928613
386	0.2561057095
387	0.2559539507
388	0.2558818766
389	0.2557710414
390	0.2555977408
391	0.2555236638
392	0.2553580074
393	0.2551789393
394	0.2550967501
395	0.254950501
396	0.2548830401
397	0.2547879732
398	0.2546482854
399	0.2545569163
400	0.254319925
401	0.2541956102
402	0.2540063782
403	0.2539172629
404	0.2538039009
405	0.2535989234
406	0.2534386248
407	0.2533387751
408	0.2532825842
409	0.2532116679
410	0.2530884565
411	0.2529994462
412	0.2529168696
413	0.252799675
414	0.2526130356
415	0.2525469003
416	0.2524898148
417	0.2523091486
418	0.2521998429
419	0.2521014163
420	0.2519434446
421	0.2518149247
422	0.2516710856
423	0.2515845566
424	0.2514413284
425	0.2513636273
426	0.251239131
427	0.2511113976
428	0.2510204336
429	0.2508405044
430	0.2507862251
431	0.250713005
432	0.2506310014
433	0.2504404899
434	0.2503445918
435	0.2502352816
436	0.2500838063
437	0.2500250978
438	0.2499299295
439	0.2498571264
440	0.2496163321
441	0.2495330351
442	0.2494220762
443	0.2493160984
444	0.2492159971
445	0.249119475
446	0.2490173625
447	0.2489254444
448	0.2488232199
449	0.2486931854
450	0.2486119541
451	0.2485328506
452	0.2484045027
453	0.2481586288
454	0.2480566062
455	0.2479553907
456	0.2479008461
457	0.2478291654
458	0.2477754039
459	0.2475807717
460	0.2474904405
461	0.2474198605
462	0.2473248054
463	0.2472184024
464	0.2471442698
465	0.2469333666
466	0.2468697462
467	0.2468120324
468	0.2466874308
469	0.2465665763
470	0.2464738411
471	0.2464028554
472	0.2462541489
473	0.2460783575
474	0.2459908032
475	0.2458868559
476	0.2458232944
477	0.245720737
478	0.2456436492
479	0.2455784278
480	0.245539482
481	0.2454518248
482	0.2453010116
483	0.245230636
484	0.2450769623
485	0.2450003301
486	0.2449442769
487	0.2447243653
488	0.244595977
489	0.2444989702
490	0.2444462811
491	0.2443582111
492	0.2441817598
493	0.2440454483
494	0.2439420175
495	0.2438147808
496	0.2437310658
497	0.2435167238
498	0.2434650753
499	0.243295559
500	0.2431229647
501	0.2430314054
502	0.2428942302
503	0.2427625884
504	0.2426705525
505	0.2426241546
506	0.2425706726
507	0.2424689114
508	0.2423032685
509	0.2422584284
510	0.2421785402
511	0.2421107206
512	0.2420370732
513	0.2418727814
514	0.2417360911
515	0.2416574218
516	0.2415644274
517	0.2414536635
518	0.2413996499
519	0.2413154208
520	0.2411719573
521	0.2411414745
522	0.240926797
523	0.2408336208
524	0.2405892037
525	0.2405061038
526	0.2403556664
527	0.2402622476
528	0.2401034544
529	0.2400259193
530	0.2398577541
531	0.2397159405
532	0.2396266742
533	0.2395591479
534	0.2395097699
535	0.2394152427
536	0.2392993608
537	0.239217547
538	0.2391318748
539	0.2390401275
540	0.2388753712
541	0.2387530817
542	0.238551075
543	0.238402165
544	0.2382902286
545	0.2381120614
546	0.2380667162
547	0.2379943893
548	0.2378831119
549	0.2377663086
550	0.2376611066
551	0.2375307392
552	0.237463793
553	0.2373202024
554	0.2372470796
555	0.2371226116
556	0.2369909506
557	0.236799011
558	0.2367480123
559	0.2366856054
560	0.2366163168
561	0.2364793365
562	0.2363996418
563	0.236313468
564	0.2362402472
565	0.2361903933
566	0.236016679
567	0.2359694207
568	0.2358770305
569	0.235790128
570	0.2356983678
571	0.2356523715
572	0.2355347978
573	0.2354724859
574	0.2354021109
575	0.2353147171
576	0.2352042841
577	0.2351467924
578	0.235041569
579	0.2349247844
580	0.234880294
581	0.2348269154
582	0.2347345662
583	0.2346506141
584	0.2345775613
585	0.2345271428
586	0.2344844082
587	0.2344093469
588	0.2343193913
589	0.2342346911
590	0.2340736772
591	0.2339211543
592	0.233741242
593	0.2337130061
594	0.2335574158
595	0.233465118
596	0.233322269
597	0.2332317485
598	0.2331735198
599	0.2331225832
600	0.2330602266
601	0.2329308315
602	0.2328832274
603	0.2328292061
604	0.2327157729
605	0.2325649372
606	0.232434884
607	0.2323816406
608	0.2323081019
609	0.2322409478
610	0.2321508918
611	0.2320997266
612	0.2319929181
613	0.231943977
614	0.2318616497
615	0.2317337434
616	0.2316622785
617	0.2315500064
618	0.2314916791
619	0.2314189876
620	0.2313538739
621	0.2313032678
622	0.2312610116
623	0.2311575321
624	0.2310346299
625	0.2309981965
626	0.2308821714
627	0.2306699225
628	0.2306080692
629	0.2305309281
630	0.2304115975
631	0.2303248247
632	0.230196962
633	0.230139189
634	0.2300524774
635	0.2299456843
636	0.2298916757
637	0.2298347867
638	0.2297493876
639	0.2296920015
640	0.2296448981
641	0.2295521614
642	0.2294742446
643	0.2293953847
644	0.229309975
645	0.2292538335
646	0.2291893261
647	0.2290752485
648	0.2289026087
649	0.228829179
650	0.228723389
651	0.2286710132
652	0.2285935538
653	0.2285244472
654	0.2284523873
655	0.2283957728
656	0.2283168821
657	0.228194964
658	0.2281399947
659	0.2280604726
660	0.2279623795
661	0.2279180376
662	0.2278448888
663	0.2277685875
664	0.227677238
665	0.2276300916
666	0.2275751053
667	0.2274930066
668	0.2274241189
669	0.2273703924
670	0.2272941131
671	0.2272263245
672	0.2271462267
673	0.2270643356
674	0.2269960966
675	0.2269185026
676	0.2268895003
677	0.226765184
678	0.2266821184
679	0.2266188772
680	0.2265098712
681	0.2264694069
682	0.2263911808
683	0.2263129344
684	0.2262060829
685	0.2261326336
686	0.2260845875
687	0.2260051443
688	0.2259533472
689	0.2258523059
690	0.2257858437
691	0.2257065336
692	0.2256554037
693	0.2256118898
694	0.225517443
695	0.2254358522
696	0.225351239
697	0.2253123225
698	0.2251865346
699	0.2250986229
700	0.2250217277
701	0.2249410253
702	0.2248587799
703	0.2248021826
704	0.2247515222
705	0.2246928557
706	0.2245981634
707	0.2245646428
708	0.2244266633
709	0.2243993636
710	0.2243354404
711	0.2242675692
712	0.2242229374
713	0.2241772366
714	0.2241124903
715	0.2240403037
716	0.2239429007
717	0.2238552842
718	0.2237955356
719	0.2237558113
720	0.2237052096
721	0.2236261048
722	0.2235402791
723	0.2234641904
724	0.2233601232
725	0.2233039857
726	0.2232581168
727	0.2231970258
728	0.2231281894
729	0.2230865478
730	0.2230101626
731	0.2229379191
732	0.2227787419
733	0.2227501749
734	0.2226833874
735	0.2226462548
736	0.2226148165
737	0.2225493833
738	0.2224545697
739	0.2223532889
740	0.2223132116
741	0.2222093408
742	0.222148286
743	0.2221182674
744	0.2220608523
745	0.2220008356
746	0.2218959139
747	0.2218490988
748	0.2217602721
749	0.2216994904
750	0.2216095678
751	0.2215279583
752	0.2214709896
753	0.2214000886
754	0.2213447841
755	0.2213081735
756	0.2212387244
757	0.2211877256
758	0.221086066
759	0.2210341563
760	0.220953654
761	0.2208822224
762	0.2208293722
763	0.2207826975
764	0.220738598
765	0.2206292855
766	0.2205439824
767	0.2205094237
768	0.2204697596
769	0.220438191
770	0.2204186083
771	0.2203624118
772	0.220324927
773	0.2202375591
774	0.2201648463
775	0.2201069294
776	0.2200476651
777	0.2200122077
778	0.2199380095
779	0.2198346475
780	0.2197897335
781	0.2197607887
782	0.2196861474
783	0.2195475978
784	0.2194478894
785	0.2193754503
786	0.2192889142
787	0.2192176196
788	0.2190929703
789	0.2190644477
790	0.2189697341
791	0.218896065
792	0.2188674629
793	0.2188187048
794	0.2187663009
795	0.2187437444
796	0.2186965666
797	0.2186452711
798	0.2185810533
799	0.2185337707
800	0.2184936783
801	0.2184333379
802	0.2183376391
803	0.218206508
804	0.2181648278
805	0.2181054557
806	0.2180631136
807	0.2179626067
808	0.2179131575
809	0.2178615018
810	0.2178080376
811	0.2177460316
812	0.2176873057
813	0.2176245393
814	0.2175877321
815	0.2174839695
816	0.2174377145
817	0.2173946622
818	0.2173353941
819	0.2172374238
820	0.2172045426
821	0.2171839255
822	0.2171001407
823	0.2170360602
824	0.2169795259
825	0.2169399102
826	0.2169022146
827	0.2168610515
828	0.2167833944
829	0.2167443412
830	0.216640347
831	0.2165886011
832	0.2165362792
833	0.216506045
834	0.2164482105
835	0.2164149912
836	0.2163596827
837	0.2163247277
838	0.2162630479
839	0.2162464558
840	0.2161952241
841	0.216162788
842	0.2161209166
843	0.2160616719
844	0.2159714435
845	0.2159259992
846	0.2158608616
847	0.2158112304
848	0.215752853
849	0.2156962512
850	0.2156758565
851	0.215641714
852	0.2155473394
853	0.2155063225
854	0.2154499629
855	0.2154148866
856	0.2153895822
857	0.2153175901
858	0.2152981578
859	0.2152487349
860	0.2151974392
861	0.2151202542
862	0.2150981838
863	0.2150199204
864	0.2149551995
865	0.2149064053
866	0.2148516904
867	0.214799228
868	0.2147377549
869	0.2146745201
870	0.214586969
871	0.214570937
872	0.2145554294
873	0.2145022064
874	0.2144254015
875	0.2143753933
876	0.2143106081
877	0.2142501182
878	0.2141949827
879	0.2141452353
880	0.2141209355
881	0.2140753852
882	0.214017518
883	0.2139017534
884	0.2138392853
885	0.2137970199
886	0.2137356173
887	0.2136840219
888	0.2136368175
889	0.2136014817
890	0.2135345785
891	0.2134826352
892	0.2134135133
893	0.2133300646
894	0.2132319643
895	0.2131908369
896	0.2130957218
897	0.2129891881
898	0.2129357418
899	0.2129016677
900	0.2128673398
901	0.2127948295
902	0.2127421635
903	0.2126991395
904	0.2126270496
905	0.2126164548
906	0.2125608375
907	0.2125176441
908	0.2124819539
909	0.2124426296
910	0.2123716413
911	0.2123340926
912	0.2122813527
913	0.2121823304
914	0.2121388927
915	0.2120845527
916	0.2120549412
917	0.2120158144
918	0.2119644962
919	0.2118952299
920	0.2118496144
921	0.2117100981
922	0.2116109776
923	0.2115768016
924	0.2115259423
925	0.2114625381
926	0.2114163979
927	0.2113674847
928	0.2113121576
929	0.2112573522
930	0.2111785296
931	0.2110947177
932	0.2110444866
933	0.2109884757
934	0.2109289718
935	0.2108964515
936	0.2108121877
937	0.2107352019
938	0.2106807752
939	0.2105785202
940	0.2105115174
941	0.2104501893
942	0.2103236915
943	0.210285058
944	0.2101741948
945	0.2101296054
946	0.2100885081
947	0.2100730261
948	0.2100253981
949	0.2099954026
950	0.2099626871
951	0.2099046651
952	0.209862572
953	0.2098198351
954	0.2097939936
955	0.2097586134
956	0.2097189467
957	0.2096714538
958	0.2096273469
959	0.2095897235
960	0.2095596499
961	0.2094645623
962	0.2094465259
963	0.2093573105
964	0.2093155107
965	0.2092815256
966	0.2092320242
967	0.2092002171
968	0.2091490534
969	0.2091090845
970	0.2090787256
971	0.2090538674
972	0.2090051374
973	0.2089727909
974	0.2089424362
975	0.208858143
976	0.2088181347
977	0.208791648
978	0.2086857183
979	0.2086346413
980	0.2085847201
981	0.2085391682
982	0.2085075879
983	0.2084734227
984	0.2084029908
985	0.2083475898
986	0.208243878
987	0.2081957129
988	0.2081572308
989	0.2080909595
990	0.2080326508
991	0.2080024135
992	0.2079597035
993	0.2079307725
994	0.2078581739
995	0.2078068194
996	0.2077691876
997	0.2076949445
998	0.2076515553
999	0.2075966797
