iter	Passed	Remaining
412	3628	5156
413	3635	5145
414	3644	5137
415	3651	5126
416	3658	5115
417	3667	5106
418	3674	5095
419	3682	5085
420	3690	5075
421	3698	5066
422	3707	5057
423	3715	5047
424	3724	5038
425	3731	5028
426	3740	5019
427	3748	5009
428	3755	4998
429	3764	4990
430	3773	4981
431	3781	4972
432	3790	4963
433	3798	4953
434	3805	4942
435	3814	4934
436	3822	4924
437	3831	4916
438	3839	4906
439	3849	4898
440	3856	4888
441	3863	4877
442	3870	4866
443	3877	4855
444	3885	4846
445	3894	4837
446	3902	4828
447	3911	4819
448	3918	4808
449	3924	4797
450	3932	4786
451	3939	4776
452	3946	4766
453	3955	4757
454	3964	4748
455	3971	4737
456	3978	4727
457	3985	4716
458	3992	4706
459	4000	4696
460	4009	4688
461	4018	4679
462	4028	4672
463	4036	4663
464	4044	4653
465	4052	4644
466	4061	4635
467	4067	4623
468	4075	4613
469	4082	4603
470	4089	4592
471	4097	4584
472	4106	4574
473	4113	4564
474	4122	4556
475	4131	4548
476	4139	4538
477	4147	4528
478	4155	4519
479	4162	4509
480	4172	4502
481	4181	4493
482	4190	4484
483	4198	4476
484	4209	4469
485	4217	4460
486	4225	4451
487	4233	4441
488	4241	4432
489	4249	4423
490	4258	4414
491	4265	4404
492	4275	4397
493	4282	4386
494	4291	4378
495	4301	4371
496	4309	4361
497	4317	4352
498	4326	4344
499	4336	4336
500	4345	4327
501	4353	4318
502	4362	4310
503	4370	4300
504	4378	4291
505	4387	4283
506	4396	4274
507	4403	4264
508	4410	4254
509	4417	4244
510	4424	4233
511	4433	4225
512	4441	4216
513	4451	4208
514	4458	4199
515	4467	4190
516	4473	4179
517	4481	4170
518	4490	4161
519	4497	4151
520	4504	4141
521	4512	4131
522	4519	4121
523	4527	4113
524	4536	4104
525	4545	4095
526	4552	4085
527	4559	4075
528	4567	4067
529	4576	4058
530	4584	4048
531	4591	4039
532	4599	4029
533	4608	4021
534	4616	4012
535	4625	4003
536	4633	3995
537	4641	3986
538	4649	3976
539	4655	3966
540	4663	3956
541	4670	3947
542	4679	3938
543	4687	3929
544	4695	3920
545	4705	3912
546	4713	3903
547	4721	3894
548	4728	3884
549	4736	3875
550	4744	3866
551	4752	3856
552	4761	3848
553	4770	3840
554	4780	3833
555	4790	3825
556	4800	3818
557	4810	3810
558	4819	3802
559	4828	3793
560	4837	3785
561	4847	3778
